qa_id,category,mode,vsw,top_k,similarity_threshold,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10,refusal_correct,retrieve_es_ms,generate_ms,total_ms,llm_calls,embedding_calls
fact-001,factual,vector,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,6210.337700002128,18525.049174000742,24752.17070998042,1,1
fact-001,factual,vector,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,6283.679945016047,23864.03752397746,30159.011433977867,1,1
fact-001,factual,vector,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,6354.662330006249,27299.323779006954,33665.66531002172,1,1
fact-001,factual,vector,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5027.32733002631,18272.2285889904,23311.96817397722,1,1
fact-001,factual,vector,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,4975.830723007675,17982.515195006272,22969.94005300803,1,1
fact-001,factual,local,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1697.298098995816,33058.46636599745,34772.1973269945,1,1
fact-001,factual,local,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1592.704809998395,22888.610181980766,24497.882277995814,1,1
fact-001,factual,local,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1525.3433260077145,27868.29043200123,29409.66325000045,1,1
fact-001,factual,local,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1351.6602769959718,18008.111649018247,19370.8929179993,1,1
fact-001,factual,local,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1355.7271279860288,17734.20571599854,19108.05702599464,1,1
fact-001,factual,global,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,3360.434044006979,16580.456710013095,19950.00177199836,1,1
fact-001,factual,global,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,2937.261594022857,17325.8944650006,20274.68574998784,1,1
fact-001,factual,global,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,3559.268304001307,16741.21809200733,20310.943515010877,1,1
fact-001,factual,global,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,3419.1733369953,25259.18003101833,28689.90550300805,1,1
fact-001,factual,global,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,3154.0544089803007,23780.055473995162,26944.935369014274,1,1
fact-002,factual,vector,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,4731.715608009836,22681.451645999914,27428.46901298617,1,1
fact-002,factual,vector,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,4871.611747978022,15957.563148986083,20842.058640002506,1,1
fact-002,factual,vector,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5010.235981986625,21610.41535701952,26632.810390001396,1,1
fact-002,factual,vector,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5115.981993993046,23043.368384998757,28169.6074649808,1,1
fact-002,factual,vector,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5002.24727098248,24072.44842601358,29084.06668200041,1,1
fact-002,factual,local,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1583.3417379762977,23176.177146000555,24770.261298981495,1,1
fact-002,factual,local,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1536.634275020333,24887.598671979504,26440.154103998793,1,1
fact-002,factual,local,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1514.8900169879198,22747.709020011825,24272.875963011757,1,1
fact-002,factual,local,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1550.6583840178791,44588.92292101518,46155.11653400608,1,1
fact-002,factual,local,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1857.014432986034,27961.572027008515,29834.146480017807,1,1
fact-002,factual,global,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5417.325917980634,38893.94013499259,44320.81980101066,1,1
fact-002,factual,global,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5060.286077001365,35579.03567398898,40648.82832401781,1,1
fact-002,factual,global,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5852.054629998747,31088.65649299696,36953.038253006525,1,1
fact-002,factual,global,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5208.496130973799,38101.09986999305,43320.09305199608,1,1
fact-002,factual,global,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,4793.157222011359,46794.074231002014,51600.83873599069,1,1
fact-003,factual,vector,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5506.901964981807,28917.320708016632,34436.57288202667,1,1
fact-003,factual,vector,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5063.97453401587,23768.316285975743,28843.857045983896,1,1
fact-003,factual,vector,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,4811.493076995248,22626.989421987673,27448.532754991902,1,1
fact-003,factual,vector,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5021.041519008577,26529.46389099816,31564.132408006117,1,1
fact-003,factual,local,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1484.3800380185712,23315.526736987522,24809.1757420043,1,1
fact-003,factual,vector,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,4753.5097879881505,29207.498922012746,33971.98943499825,1,1
fact-003,factual,local,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,2643.690499011427,21590.30821599299,24250.160482974024,1,1
fact-003,factual,local,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1759.6614279900678,20610.560889006592,22380.601429002127,1,1
fact-003,factual,local,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1640.272538003046,24106.340439990163,25762.53178701154,1,1
fact-003,factual,local,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,1520.6842579937074,30997.57660800242,32529.93016000255,1,1
fact-003,factual,global,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,4341.089182009455,21974.20581401093,26324.023195018526,1,1
fact-003,factual,global,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,3619.7751539875753,40519.795009022346,44153.49617000902,1,1
